,UPRN,OS_ADDRESS_TO_ID,UDPRN,ORGANISATION_NAME,DEPARTMENT_NAME,PO_BOX_NUMBER,SUB_BUILDING_NAME,BUILDING_NAME,BUILDING_NUMBER,DEPENDENT_THOROUGHFARE,THOROUGHFARE,POST_TOWN,DOUBLE_DEPENDENT_LOCALITY,DEPENDENT_LOCALITY,POSTCODE,POSTCODE_TYPE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,RPC,COUNTRY,CHANGE_TYPE,LA_START_DATE,RM_START_DATE,LAST_UPDATE_DATE,CLASS,recnos
7364,100040210276,osgb1000002274362421,8782840,,,,,,60.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291971.0,93448.0,50.730562,-3.5320642999999996,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
7441,100040210255,osgb1000002274362483,8782816,,,,,,39.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291971.0,93389.0,50.7300316,-3.5320468999999997,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
9223,100040210241,osgb1000002274362476,8782801,,,,,,25.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291986.0,93361.0,50.72978270000001,-3.5318263,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
9792,100040210240,osgb1000002274382453,8782800,,,,,,24.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292013.0,93369.0,50.729859600000005,-3.5314462,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
9809,100040210265,osgb1000002274362431,8782827,,,,,,49.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291957.0,93411.0,50.7302267,-3.5322516999999998,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
10047,100040210263,osgb1000002274362473,8782825,,,,,,47.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291960.0,93406.0,50.7301824,-3.5322077000000003,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
10280,100040210270,osgb1000002274362418,8782833,,,,,,54.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291978.0,93435.0,50.7304464,-3.5319613,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
11343,100040210249,osgb1000002274362480,8782810,,,,,,33.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291977.0,93378.0,50.7299338,-3.5319587,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
11798,100040210222,osgb1000002274382530,8782839,,,,,,6.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292031.0,93328.0,50.72949439999999,-3.5311792,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
12371,100040210251,osgb1000002274362481,8782812,,,,,,35.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291975.0,93381.0,50.729960399999996,-3.5319879000000003,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
12466,100040210231,osgb1000002274362493,8782790,,,,,,15.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292002.0,93340.0,50.729596799999996,-3.5315934999999996,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
13069,100040210227,osgb1000002274382443,8782786,,,,,,11.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292006.0,93331.0,50.729516700000005,-3.5315342000000003,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
14183,100040210228,osgb1000002274382447,8782787,,,,,,12.0,,DANES ROAD,EXETER,,,EX4 4LS,S,292028.0,93342.0,50.72961970000001,-3.5312258,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
14266,100040210253,osgb1000002274362482,8782814,,,,,,37.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291972.0,93386.0,50.730004799999996,-3.5320319,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
14523,100040210266,osgb1000002274362416,8782829,,,,,,50.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291984.0,93426.0,50.7303666,-3.5318737000000002,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
14544,100040210245,osgb1000002274362478,8782805,,,,,,29.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291982.0,93369.0,50.729853799999994,-3.5318852999999995,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
14900,100040210237,osgb1000002274362496,8782797,,,,,,21.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291991.0,93352.0,50.7297027,-3.5317528,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
15010,100040210267,osgb1000002274362432,8782830,,,,,,51.0,,DANES ROAD,EXETER,,,EX4 4LS,S,291955.0,93414.0,50.7302533,-3.5322809,1,E,I,2007-10-24,2012-03-19,2015-08-23,R,
